Dataset,Unit Id,Title Id,Title,Snippet Id,Snippet,Overlapping Snippet,Snippet Relevance Score,Number of Relevant Mentions,Overall Sentiment-Intensity,Relevant Mention,Relevant Mention Score,Positive Sentiment,Negative Sentiment,Neutral Sentiment,High Intensity,Low Intensity,Medium Intensity
DS1,216,8453,Australian blitz on fish poaching,6-NonOver,"Intelligence indicated what he called `` organised transnational criminal activity '' , including some Asian connections beyond the Indonesian village ports where the vessels originated , but the activity was apparently limited to illegal fishing , and did not include smuggling .",0,0.19,2,0,limited to illegal fishing,0.71,0,0.7808688094,0.6246950476,0,0.7808688094,0.6246950476
DS1,217,8453,Australian blitz on fish poaching,12-NonOver,"At time of writing , it has not been ascertained whether the currently detained vessels were fishing in such `` traditional '' waters or not , or whether they were operated by crews who would have traditional fishing rights , if they had been in compliance with the MOU .",0,0.19,2,1,,,0,0.1961161351,0.9805806757,0,0.7071067812,0.7071067812
DS1,217,8453,Australian blitz on fish poaching,12-NonOver,"At time of writing , it has not been ascertained whether the currently detained vessels were fishing in such `` traditional '' waters or not , or whether they were operated by crews who would have traditional fishing rights , if they had been in compliance with the MOU .",0,0.19,2,0,fishing,0.89,0,0,1,0,0.9805806757,0.1961161351
DS1,217,8453,Australian blitz on fish poaching,12-NonOver,"At time of writing , it has not been ascertained whether the currently detained vessels were fishing in such `` traditional '' waters or not , or whether they were operated by crews who would have traditional fishing rights , if they had been in compliance with the MOU .",0,0.19,2,0,fishing,0.45,0,0,1,0,0.9805806757,0.1961161351
DS1,218,8453,Australian blitz on fish poaching,16-NonOver,"The fishermen were expected to appear in court next week , reported Reuters news agency .",0,0.1,1,1,,,0,0.4472135955,0.894427191,0,0.9615239476,0.2747211279
DS1,218,8453,Australian blitz on fish poaching,16-NonOver,"The fishermen were expected to appear in court next week , reported Reuters news agency .",0,0.1,1,0,fishermen,1,0,0.1240347346,0.9922778767,0,0.9922778767,0.1240347346
DS1,219,8453,Australian blitz on fish poaching,7-NonOver,"`` We are talking about large-scale commercial operations rather than simply subsistence fishing , '' Macdonald said in a statement , indicating that fifteen of the boats were large vessels with ice for storage .",0,0.55,5,1,,,0.4850712501,0.7276068751,0.4850712501,0,0.6,0.8
DS1,219,8453,Australian blitz on fish poaching,7-NonOver,"`` We are talking about large-scale commercial operations rather than simply subsistence fishing , '' Macdonald said in a statement , indicating that fifteen of the boats were large vessels with ice for storage .",0,0.55,5,0,fishing,0.6,0.7276068751,0.4850712501,0.4850712501,0.3713906764,0.9284766909,0
DS1,219,8453,Australian blitz on fish poaching,7-NonOver,"`` We are talking about large-scale commercial operations rather than simply subsistence fishing , '' Macdonald said in a statement , indicating that fifteen of the boats were large vessels with ice for storage .",0,0.55,5,0,commercial operations,0.3,0.6882472016,0.2294157339,0.6882472016,0,0.9863939238,0.1643989873
DS1,219,8453,Australian blitz on fish poaching,7-NonOver,"`` We are talking about large-scale commercial operations rather than simply subsistence fishing , '' Macdonald said in a statement , indicating that fifteen of the boats were large vessels with ice for storage .",0,0.55,5,0,fifteen of the boats were large vessels,0.3,0.4850712501,0.4850712501,0.7276068751,0,0.9863939238,0.1643989873
DS1,219,8453,Australian blitz on fish poaching,7-NonOver,"`` We are talking about large-scale commercial operations rather than simply subsistence fishing , '' Macdonald said in a statement , indicating that fifteen of the boats were large vessels with ice for storage .",0,0.55,5,0,large-scale commercial operations,0.3,0.6882472016,0.2294157339,0.6882472016,0,1,0
DS1,219,8453,Australian blitz on fish poaching,7-NonOver,"`` We are talking about large-scale commercial operations rather than simply subsistence fishing , '' Macdonald said in a statement , indicating that fifteen of the boats were large vessels with ice for storage .",0,0.55,5,0,large-scale commercial operations rather than simply subsistence fishing,0.6,0.7276068751,0.4850712501,0.4850712501,0,0.9284766909,0.3713906764
DS1,220,8453,Australian blitz on fish poaching,5-Over,"`` I think all of the illegal vessels up there , because of their inter-vessel communication will now be aware that there is a major sting on by the Australian authorities and those that have n't been arrested , I think will be hightailing it back to Indonesian ports as we speak , '' said Senator MacDonald .",1,0.12,4,1,,,0.6882472016,0.2294157339,0.6882472016,0,0.6,0.8
DS1,220,8453,Australian blitz on fish poaching,5-Over,"`` I think all of the illegal vessels up there , because of their inter-vessel communication will now be aware that there is a major sting on by the Australian authorities and those that have n't been arrested , I think will be hightailing it back to Indonesian ports as we speak , '' said Senator MacDonald .",1,0.12,4,0,illegal vessels,0.5,0,0.9863939238,0.1643989873,0,0.6,0.8
DS1,220,8453,Australian blitz on fish poaching,5-Over,"`` I think all of the illegal vessels up there , because of their inter-vessel communication will now be aware that there is a major sting on by the Australian authorities and those that have n't been arrested , I think will be hightailing it back to Indonesian ports as we speak , '' said Senator MacDonald .",1,0.12,4,0,major sting,0.5,0.4850712501,0.4850712501,0.7276068751,0.2182178902,0.4364357805,0.8728715609
DS1,220,8453,Australian blitz on fish poaching,5-Over,"`` I think all of the illegal vessels up there , because of their inter-vessel communication will now be aware that there is a major sting on by the Australian authorities and those that have n't been arrested , I think will be hightailing it back to Indonesian ports as we speak , '' said Senator MacDonald .",1,0.12,4,0,the Australian,0.5,0,0.1643989873,0.9863939238,0,0.9284766909,0.3713906764
DS1,220,8453,Australian blitz on fish poaching,5-Over,"`` I think all of the illegal vessels up there , because of their inter-vessel communication will now be aware that there is a major sting on by the Australian authorities and those that have n't been arrested , I think will be hightailing it back to Indonesian ports as we speak , '' said Senator MacDonald .",1,0.12,4,0,authorities,0.5,0.1924500897,0.1924500897,0.9622504486,0,0.9284766909,0.3713906764
DS1,221,8453,Australian blitz on fish poaching,17-Over,"An Indonesian fisherman was last week fined $ A130 ,000 , setting a new record , after his boat was caught off with over 100kg of dried reef fish , 300kg of fish on ice and 10kg of dried shark fin .",1,0.24,4,1,,,0.8728715609,0.4364357805,0.2182178902,0.4850712501,0.4850712501,0.7276068751
DS1,221,8453,Australian blitz on fish poaching,17-Over,"An Indonesian fisherman was last week fined $ A130 ,000 , setting a new record , after his boat was caught off with over 100kg of dried reef fish , 300kg of fish on ice and 10kg of dried shark fin .",1,0.24,4,0,Indonesian fisherman,0.5,0.2182178902,0.4364357805,0.8728715609,0,0.9863939238,0.1643989873
DS1,221,8453,Australian blitz on fish poaching,17-Over,"An Indonesian fisherman was last week fined $ A130 ,000 , setting a new record , after his boat was caught off with over 100kg of dried reef fish , 300kg of fish on ice and 10kg of dried shark fin .",1,0.24,4,0,boat was caught,0.5,0.6882472016,0.2294157339,0.6882472016,0,0.8,0.6
DS1,221,8453,Australian blitz on fish poaching,17-Over,"An Indonesian fisherman was last week fined $ A130 ,000 , setting a new record , after his boat was caught off with over 100kg of dried reef fish , 300kg of fish on ice and 10kg of dried shark fin .",1,0.24,4,0,over 100kg of dried reef fish 300kg of fish on ice and 10kg of dried shark fin,0.5,0.4850712501,0.4850712501,0.7276068751,0.4364357805,0.8728715609,0.2182178902
DS1,221,8453,Australian blitz on fish poaching,17-Over,"An Indonesian fisherman was last week fined $ A130 ,000 , setting a new record , after his boat was caught off with over 100kg of dried reef fish , 300kg of fish on ice and 10kg of dried shark fin .",1,0.24,4,0,fined,0.5,0.6882472016,0.6882472016,0.2294157339,0,0.8,0.6
DS1,222,8453,Australian blitz on fish poaching,19-NonOver,"`` Provide the extra funding , provide the extra resources to the Navy and the Customs and then they will be able to stop the illegal boats , not only when they run an operation but every day , every week , every month , '' Mr Vatskalis told the ABC .",0,0.12,1,1,,,0.9733285268,0.1622214211,0.1622214211,0.1825741858,0.3651483717,0.9128709292
DS1,222,8453,Australian blitz on fish poaching,19-NonOver,"`` Provide the extra funding , provide the extra resources to the Navy and the Customs and then they will be able to stop the illegal boats , not only when they run an operation but every day , every week , every month , '' Mr Vatskalis told the ABC .",0,0.12,1,0,stop the illegal boats,1,0.5883484054,0.7844645406,0.1961161351,0.3651483717,0.1825741858,0.9128709292
DS1,223,8453,Australian blitz on fish poaching,13-Over,"Senator MacDonald told the ABC Radio programme AM that he expected in the case of those thought to have been fishing in Australian waters illegally , the captain and perhaps the senior fishing master would be charged , with other crew being immediately repatriated to Indonesia .",1,0.61,7,1,,,0,0.9284766909,0.3713906764,0.4850712501,0.7276068751,0.4850712501
DS1,223,8453,Australian blitz on fish poaching,13-Over,"Senator MacDonald told the ABC Radio programme AM that he expected in the case of those thought to have been fishing in Australian waters illegally , the captain and perhaps the senior fishing master would be charged , with other crew being immediately repatriated to Indonesia .",1,0.61,7,0,fishing in Australian waters illegally,0.46,0,0.9284766909,0.3713906764,0,0.6,0.8
DS1,223,8453,Australian blitz on fish poaching,13-Over,"Senator MacDonald told the ABC Radio programme AM that he expected in the case of those thought to have been fishing in Australian waters illegally , the captain and perhaps the senior fishing master would be charged , with other crew being immediately repatriated to Indonesia .",1,0.61,7,0,fishing,0.46,0.1924500897,0.1924500897,0.9622504486,0,0.9863939238,0.1643989873
DS1,223,8453,Australian blitz on fish poaching,13-Over,"Senator MacDonald told the ABC Radio programme AM that he expected in the case of those thought to have been fishing in Australian waters illegally , the captain and perhaps the senior fishing master would be charged , with other crew being immediately repatriated to Indonesia .",1,0.61,7,0,captain,0.23,0.1924500897,0.1924500897,0.9622504486,0.3713906764,0.9284766909,0
DS1,223,8453,Australian blitz on fish poaching,13-Over,"Senator MacDonald told the ABC Radio programme AM that he expected in the case of those thought to have been fishing in Australian waters illegally , the captain and perhaps the senior fishing master would be charged , with other crew being immediately repatriated to Indonesia .",1,0.61,7,0,would be charged,0.23,0,0.9284766909,0.3713906764,0,0.6,0.8
DS1,223,8453,Australian blitz on fish poaching,13-Over,"Senator MacDonald told the ABC Radio programme AM that he expected in the case of those thought to have been fishing in Australian waters illegally , the captain and perhaps the senior fishing master would be charged , with other crew being immediately repatriated to Indonesia .",1,0.61,7,0,Australian,0.46,0.1924500897,0.1924500897,0.9622504486,0.1643989873,0.9863939238,0
DS1,223,8453,Australian blitz on fish poaching,13-Over,"Senator MacDonald told the ABC Radio programme AM that he expected in the case of those thought to have been fishing in Australian waters illegally , the captain and perhaps the senior fishing master would be charged , with other crew being immediately repatriated to Indonesia .",1,0.61,7,0,illegally,0.46,0.1924500897,0.9622504486,0.1924500897,0,0.8,0.6
DS1,223,8453,Australian blitz on fish poaching,13-Over,"Senator MacDonald told the ABC Radio programme AM that he expected in the case of those thought to have been fishing in Australian waters illegally , the captain and perhaps the senior fishing master would be charged , with other crew being immediately repatriated to Indonesia .",1,0.61,7,0,fishing in Australian waters,0.23,0.6,0,0.8,0,0.9863939238,0.1643989873
DS1,224,8453,Australian blitz on fish poaching,10-Over,"A 1906 Australian claim on as much as 80 % of the waters has since been softened by a Memorandum of Understanding ( MOU ) between the two governments , recognizing some traditional fishing rights .",1,0.39,3,1,,,0.894427191,0,0.4472135955,0,0.4472135955,0.894427191
DS1,224,8453,Australian blitz on fish poaching,10-Over,"A 1906 Australian claim on as much as 80 % of the waters has since been softened by a Memorandum of Understanding ( MOU ) between the two governments , recognizing some traditional fishing rights .",1,0.39,3,0,Australian,0.78,0,0,1,0,1,0
DS1,224,8453,Australian blitz on fish poaching,10-Over,"A 1906 Australian claim on as much as 80 % of the waters has since been softened by a Memorandum of Understanding ( MOU ) between the two governments , recognizing some traditional fishing rights .",1,0.39,3,0,fishing,0.59,0.5070925528,0.1690308509,0.8451542547,0,0.894427191,0.4472135955
DS1,224,8453,Australian blitz on fish poaching,10-Over,"A 1906 Australian claim on as much as 80 % of the waters has since been softened by a Memorandum of Understanding ( MOU ) between the two governments , recognizing some traditional fishing rights .",1,0.39,3,0,fishing rights,0.2,0.4472135955,0,0.894427191,0,0.7808688094,0.6246950476
DS1,225,8453,Australian blitz on fish poaching,11-Over,"However analysts say the Australian government strategy is flawed , since it is based on the fishing technology employed , rather than catch numbers .",1,0.68,4,1,,,0,0.9899494937,0.1414213562,0.1622214211,0.9733285268,0.1622214211
DS1,225,8453,Australian blitz on fish poaching,11-Over,"However analysts say the Australian government strategy is flawed , since it is based on the fishing technology employed , rather than catch numbers .",1,0.68,4,0,Australian government strategy,0.13,0.1622214211,0.1622214211,0.9733285268,0.1414213562,0.9899494937,0
DS1,225,8453,Australian blitz on fish poaching,11-Over,"However analysts say the Australian government strategy is flawed , since it is based on the fishing technology employed , rather than catch numbers .",1,0.68,4,0,catch,0.13,0,0.1414213562,0.9899494937,0,0.9899494937,0.1414213562
DS1,225,8453,Australian blitz on fish poaching,11-Over,"However analysts say the Australian government strategy is flawed , since it is based on the fishing technology employed , rather than catch numbers .",1,0.68,4,0,Australian,0.76,0,0.1414213562,0.9899494937,0.1414213562,0.9899494937,0
DS1,225,8453,Australian blitz on fish poaching,11-Over,"However analysts say the Australian government strategy is flawed , since it is based on the fishing technology employed , rather than catch numbers .",1,0.68,4,0,fishing,0.63,0,0.1414213562,0.9899494937,0,1,0
DS1,226,8453,Australian blitz on fish poaching,9-NonOver,Fishing by some Indonesian peoples has occurred legitimately in the area between the two nations for hundreds of years before European colonization .,0,0.19,1,1,,,0.1622214211,0.1622214211,0.9733285268,0,1,0
DS1,226,8453,Australian blitz on fish poaching,9-NonOver,Fishing by some Indonesian peoples has occurred legitimately in the area between the two nations for hundreds of years before European colonization .,0,0.19,1,0,Fishing,1,0,0,1,0,1,0
DS1,227,8453,Australian blitz on fish poaching,18-Over,"The Northern Territory Fisheries Minister , Kon Vatskalis , on ABC Radio asked the Federal Government to commit the same level of resources permanently .",1,0.1,1,1,,,0.3713906764,0,0.9284766909,0,0.9863939238,0.1643989873
DS1,227,8453,Australian blitz on fish poaching,18-Over,"The Northern Territory Fisheries Minister , Kon Vatskalis , on ABC Radio asked the Federal Government to commit the same level of resources permanently .",1,0.1,1,0,Fisheries,1,0,0,1,0,1,0
DS1,207,8496,Norwegian whaling season starts with highest quota in a decade,11-Over,"The number of whales caught by Norway has steadily increased since resumption of whaling in 1993 , with the 226 caught that year rising to over 500 in 1997 and 670 in 2003 .",1,0.66,9,1,,,0,0.5144957554,0.8574929257,0.1825741858,0.9128709292,0.3651483717
DS1,207,8496,Norwegian whaling season starts with highest quota in a decade,11-Over,"The number of whales caught by Norway has steadily increased since resumption of whaling in 1993 , with the 226 caught that year rising to over 500 in 1997 and 670 in 2003 .",1,0.66,9,0,number of whales caught by Norway has steadily increased,0.13,0,0.316227766,0.9486832981,0,0.8574929257,0.5144957554
DS1,207,8496,Norwegian whaling season starts with highest quota in a decade,11-Over,"The number of whales caught by Norway has steadily increased since resumption of whaling in 1993 , with the 226 caught that year rising to over 500 in 1997 and 670 in 2003 .",1,0.66,9,0,whales,0.63,0.1414213562,0,0.9899494937,0,0.9899494937,0.1414213562
DS1,207,8496,Norwegian whaling season starts with highest quota in a decade,11-Over,"The number of whales caught by Norway has steadily increased since resumption of whaling in 1993 , with the 226 caught that year rising to over 500 in 1997 and 670 in 2003 .",1,0.66,9,0,Norway,0.63,0,0,1,0,0.9486832981,0.316227766
DS1,207,8496,Norwegian whaling season starts with highest quota in a decade,11-Over,"The number of whales caught by Norway has steadily increased since resumption of whaling in 1993 , with the 226 caught that year rising to over 500 in 1997 and 670 in 2003 .",1,0.66,9,0,steadily increased,0.25,0,0.1414213562,0.9899494937,0,0.8574929257,0.5144957554
DS1,207,8496,Norwegian whaling season starts with highest quota in a decade,11-Over,"The number of whales caught by Norway has steadily increased since resumption of whaling in 1993 , with the 226 caught that year rising to over 500 in 1997 and 670 in 2003 .",1,0.66,9,0,whaling,0.25,0,0.316227766,0.9486832981,0,0.9899494937,0.1414213562
DS1,207,8496,Norwegian whaling season starts with highest quota in a decade,11-Over,"The number of whales caught by Norway has steadily increased since resumption of whaling in 1993 , with the 226 caught that year rising to over 500 in 1997 and 670 in 2003 .",1,0.66,9,0,number of whales caught by Norway,0.13,0,0.316227766,0.9486832981,0,0.9486832981,0.316227766
DS1,207,8496,Norwegian whaling season starts with highest quota in a decade,11-Over,"The number of whales caught by Norway has steadily increased since resumption of whaling in 1993 , with the 226 caught that year rising to over 500 in 1997 and 670 in 2003 .",1,0.66,9,0,rising,0.13,0,0,1,0,0.9899494937,0.1414213562
DS1,207,8496,Norwegian whaling season starts with highest quota in a decade,11-Over,"The number of whales caught by Norway has steadily increased since resumption of whaling in 1993 , with the 226 caught that year rising to over 500 in 1997 and 670 in 2003 .",1,0.66,9,0,670 in 2003,0.13,0,0,1,0,0.9899494937,0.1414213562
DS1,207,8496,Norwegian whaling season starts with highest quota in a decade,11-Over,"The number of whales caught by Norway has steadily increased since resumption of whaling in 1993 , with the 226 caught that year rising to over 500 in 1997 and 670 in 2003 .",1,0.66,9,0,increased,0.13,0,0,1,0,0.9899494937,0.1414213562
DS1,208,8496,Norwegian whaling season starts with highest quota in a decade,10-Over,Whale meat is used as steaks and in hamburgers and sausages in Norway .,1,0.19,3,1,,,0,0.7071067812,0.7071067812,0,0.9805806757,0.1961161351
DS1,208,8496,Norwegian whaling season starts with highest quota in a decade,10-Over,Whale meat is used as steaks and in hamburgers and sausages in Norway .,1,0.19,3,0,Whale meat,0.41,0,0.894427191,0.4472135955,0,0.9805806757,0.1961161351
DS1,208,8496,Norwegian whaling season starts with highest quota in a decade,10-Over,Whale meat is used as steaks and in hamburgers and sausages in Norway .,1,0.19,3,0,Norway,0.82,0,0,1,0,0.9805806757,0.1961161351
DS1,208,8496,Norwegian whaling season starts with highest quota in a decade,10-Over,Whale meat is used as steaks and in hamburgers and sausages in Norway .,1,0.19,3,0,Whale,0.41,0,0,1,0,0.9805806757,0.1961161351
DS1,209,8496,Norwegian whaling season starts with highest quota in a decade,7-Over,"However despite international opposition , it is unlikely Norway will end whaling anytime soon .",1,0.38,3,1,,,0,1,0,0.1622214211,0.1622214211,0.9733285268
DS1,209,8496,Norwegian whaling season starts with highest quota in a decade,7-Over,"However despite international opposition , it is unlikely Norway will end whaling anytime soon .",1,0.38,3,0,Norway,0.7,0.1825741858,0.3651483717,0.9128709292,0,0.9899494937,0.1414213562
DS1,209,8496,Norwegian whaling season starts with highest quota in a decade,7-Over,"However despite international opposition , it is unlikely Norway will end whaling anytime soon .",1,0.38,3,0,whaling,0.7,0,0.9899494937,0.1414213562,0.1961161351,0.5883484054,0.7844645406
DS1,209,8496,Norwegian whaling season starts with highest quota in a decade,7-Over,"However despite international opposition , it is unlikely Norway will end whaling anytime soon .",1,0.38,3,0,unlikely Norway will end whaling,0.17,0,1,0,0.4082482905,0.4082482905,0.8164965809
DS1,210,8496,Norwegian whaling season starts with highest quota in a decade,8-Over,Norway is the only country in the world to allow commercial whaling .,1,0.47,4,1,,,0.4850712501,0.7276068751,0.4850712501,0.2294157339,0.6882472016,0.6882472016
DS1,210,8496,Norwegian whaling season starts with highest quota in a decade,8-Over,Norway is the only country in the world to allow commercial whaling .,1,0.47,4,0,commercial whaling,0.34,0.2294157339,0.6882472016,0.6882472016,0.2182178902,0.8728715609,0.4364357805
DS1,210,8496,Norwegian whaling season starts with highest quota in a decade,8-Over,Norway is the only country in the world to allow commercial whaling .,1,0.47,4,0,Norway,0.86,0.1643989873,0,0.9863939238,0,1,0
