	index	Dataset	Tweet Id	Tweet Author	Tweet Date	Tweet Seed Index	Tweet Content	Tweet Event Relevance Score	Number of Relevant Mentions	Overall Sentiment-Intensity	Relevant Mention	Relevant Mention Score	Positive Sentiment	Negative Sentiment	Neutral Sentiment	High Intensity	Low Intensity	Medium Intensity	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30	Unnamed: 31	Unnamed: 32	Unnamed: 33	Unnamed: 34	Unnamed: 35	Unnamed: 36	Unnamed: 37	Unnamed: 38	Unnamed: 39	Unnamed: 40	Unnamed: 41	Unnamed: 42	Unnamed: 43	Unnamed: 44	Unnamed: 45	Unnamed: 46	Unnamed: 47	Unnamed: 48	Unnamed: 49	Unnamed: 50	Unnamed: 51	Unnamed: 52	Unnamed: 53	Unnamed: 54	Unnamed: 55	Unnamed: 56	Unnamed: 57	Unnamed: 58	Unnamed: 59	Unnamed: 60	Unnamed: 61	Unnamed: 62	Unnamed: 63	Unnamed: 64	Unnamed: 65	Unnamed: 66	Unnamed: 67	Unnamed: 68	Unnamed: 69	Unnamed: 70	Unnamed: 71	Unnamed: 72	Unnamed: 73	Unnamed: 74	Unnamed: 75	Unnamed: 76	Unnamed: 77	Unnamed: 78	Unnamed: 79	Unnamed: 80	Unnamed: 81	Unnamed: 82	Unnamed: 83	Unnamed: 84	Unnamed: 85	Unnamed: 86	Unnamed: 87	Unnamed: 88	Unnamed: 89	Unnamed: 90	Unnamed: 91	Unnamed: 92	Unnamed: 93	Unnamed: 94	Unnamed: 95	Unnamed: 96	Unnamed: 97	Unnamed: 98	Unnamed: 99	Unnamed: 100	Unnamed: 101	Unnamed: 102	Unnamed: 103	Unnamed: 104	Unnamed: 105	Unnamed: 106	Unnamed: 107	Unnamed: 108	Unnamed: 109	Unnamed: 110	Unnamed: 111	Unnamed: 112	Unnamed: 113	Unnamed: 114	Unnamed: 115	Unnamed: 116	Unnamed: 117	Unnamed: 118	Unnamed: 119	Unnamed: 120	Unnamed: 121	Unnamed: 122	Unnamed: 123	Unnamed: 124	Unnamed: 125	Unnamed: 126	Unnamed: 127	Unnamed: 128	Unnamed: 129	Unnamed: 130	Unnamed: 131	Unnamed: 132	Unnamed: 133	Unnamed: 134	Unnamed: 135	Unnamed: 136	Unnamed: 137	Unnamed: 138	Unnamed: 139	Unnamed: 140	Unnamed: 141	Unnamed: 142	Unnamed: 143	Unnamed: 144	Unnamed: 145	Unnamed: 146	Unnamed: 147	Unnamed: 148	Unnamed: 149	Unnamed: 150	Unnamed: 151	Unnamed: 152	Unnamed: 153	Unnamed: 154	Unnamed: 155	Unnamed: 156	Unnamed: 157	Unnamed: 158	Unnamed: 159	Unnamed: 160
16	16	DS3	38846	@spalumbi	Wed Mar 11 15:58:10 +0000 2015		New total. 3 million whales have been killed by whaling http://t.co/DcBYjCfjEx	1.0	7.0	1			0.0	1.0	0.0	0.91914503	0.0	0.3939192986																																																																																																																																																
17	17	DS3	38827	@theeorl	Mon Mar 09 00:39:25 +0000 2015		"RT @tutticontenti: #Japan needs to stop killing #Whales.
The Big Lie Behind Japanese Whaling http://t.co/etYsPiCT00 http://t.co/ma9FothrwO"	1.0	6.0	1			0.1414213562	0.9899494937	0.0	0.3651483717	0.1825741858	0.9128709292																																																																																																																																																
18	18	DS3	38688	@Beef_Exporters	Mon Mar 16 02:09:37 +0000 2015		The end of whaling &amp; dolphin hunting in Japan isn't about money. it is about conservation. Stop eating whale &amp; dolphin meat. #Tweet4Taiji	1.0	7.0	1			0.3651483717	0.9128709292	0.1825741858	0.6396021491	0.4264014327	0.6396021491																																																																																																																																																
19	19	DS3	38998	@AustraIia_Pork	Tue Mar 10 04:08:49 +0000 2015		Japan MUST stop eating whale &amp; dolphin meat &amp; start importing Australian pork! #Tweet4Taiji #whaling #seashepherd #ShutTaijiDown #TheCove	1.0	7.0	1			0.3244428423	0.8111071057	0.4866642634	0.3244428423	0.4866642634	0.8111071057																																																																																																																																																
20	20	DS3	38866	@lozrozable	Mon Mar 09 00:00:13 +0000 2015		"RT @tutticontenti: #Japan needs to stop killing #Whales.
The Big Lie Behind Japanese Whaling http://t.co/etYsPiCT00 http://t.co/ma9FothrwO"	1.0	6.0	1			0.2747211279	0.9615239476	0.0	0.6963106238	0.174077656	0.6963106238																																																																																																																																																
21	21	DS3	38614	@Pork_Merchants	Fri Mar 13 04:39:08 +0000 2015		Japan must increase imports of Australian pork. End whaling and the dolphin hunt now. We all support this at #Tweet4Taiji. #thecove	1.0	6.0	1			0.8111071057	0.4866642634	0.3244428423	0.272165527	0.1360827635	0.9525793444																																																																																																																																																
22	22	DS3	38929	@tomhouslay	Sun Mar 15 19:36:39 +0000 2015		"RT @m_m_campbell: A whale for the killing.
Cetacean slaughter tallied.
Mind boggling.
http://t.co/49vnyAC2G2 #whales #conservation by @DPCr…"	1.0	6.0	1			0.0	1.0	0.0	0.7808688094	0.0	0.6246950476																																																																																																																																																
23	23	DS3	38803	@irenesseacove	Mon Mar 09 00:06:19 +0000 2015		"RT @tutticontenti: #Japan needs to stop killing #Whales.
The Big Lie Behind Japanese Whaling http://t.co/etYsPiCT00 http://t.co/ma9FothrwO"	1.0	7.0	1			0.3651483717	0.9128709292	0.1825741858	0.316227766	0.0	0.9486832981																																																																																																																																																
24	24	DS3	38596	@tutticontenti	Wed Mar 11 14:05:01 +0000 2015		"#Japan needs to stop killing #Whales.
The Big Lie Behind Japanese Whaling http://t.co/etYsPiCT00 http://t.co/wWdyamLhDD"	1.0	8.0	1			0.1474419562	0.8846517369	0.4423258685	0.3015113446	0.3015113446	0.9045340337																																																																																																																																																
25	25	DS2	24003	@GerdavanRijn1	2014-05-07	whaling_212	Denounce Japan for Whale Slaughter - ForceChange http://t.co/W4yGeFn5BB	1.0	5.0	1			0.1961161351	0.9805806757	0.0	0.8017837257	0.2672612419	0.5345224838																																																																																																																																																
26	26	DS3	38749	@Pork_Merchants	Wed Mar 18 12:09:51 +0000 2015		Japan must increase imports of Australian pork. End whaling and the dolphin hunt now. We all support this at #Tweet4Taiji. #thecove	1.0	12.0	1			0.8728715609	0.4364357805	0.2182178902	0.4850712501	0.4850712501	0.7276068751																																																																																																																																																
27	27	DS3	38899	@hglover60	Thu Mar 12 08:11:54 +0000 2015		Tell Japan: End Illegal Antarctic Whaling Today! http://t.co/4K1Nt64fvm via @TakePart	1.0	8.0	1			0.4472135955	0.894427191	0.0	0.6246950476	0.0	0.7808688094																																																																																																																																																
28	28	DS3	38747	@iixxgeniexxii	Sun Mar 15 22:48:05 +0000 2015		@SenBrianSchatz Japan expanding controversial whaling program #BoycottJapan http://t.co/2S3Lt5lfBj http://t.co/kvOWcoQdfN	1.0	9.0	1			0.123091491	0.9847319278	0.123091491	0.6666666667	0.3333333333	0.6666666667																																																																																																																																																
29	29	DS2	24143	@Liberater1	2014-05-13	whaling_354	RT @ReginaJJK: “@QuadFins4Fun: Japan Finds Way Around Ban on Whaling - http://t.co/dfHDsyAOda #WhaleWars” Not surprised. #thugs #Internatio…	1.0		1																																																																																																			Japan	0.54	Finds	0.2	Way	0.2	Around	0.2	Ban	0.34	on	0.34	Whaling	0.6	[NONE]	0	[CHECK_FAILED]	0																																				
30	30	DS2	24174	@raythemouse	2014-05-15	whaling_387	Japan whaling town sued by dolphin activists - The West Australian http://t.co/VCWkCWdqbe via @Yahoo7	1.0	6.0	1			0.7071067812	0.7071067812	0.0	0.0	0.5144957554	0.8574929257																																																																																																																																																
31	31	DS2	24112	@Australie_RT	2014-05-12	whaling_323	RT @NappeeNappe: BBC News - Japan whaling ban welcomed in Australia and New Zealand http://t.co/HcgqP3tIWW	1.0	5.0	1			0.7844645406	0.5883484054	0.1961161351	0.4264014327	0.6396021491	0.6396021491																																																																																																																																																
32	32	DS2	24172	@InsJournal	2014-05-15	whaling_385	News Asia > Japan whaling town sued by dolphin activists - Animal rights activists said on Thursday they had sued ... http://t.co/7Q0VXRpWtd	1.0	3.0	1			0.5547001962	0.8320502943	0.0	0.0	0.242535625	0.9701425001																																																																																																																																																
33	33	DS2	24116	@jilleeeebean	2014-05-12	whaling_327	RT @katrinataylor17: Denounce Japan for Whale Slaughter - ForceChange http://t.co/uPgYyRtDn9	1.0	4.0	1			0.0	1.0	0.0	0.5070925528	0.1690308509	0.8451542547																																																																																																																																																
34	34	DS2	24117	@TheEarthSpace	2014-05-12	whaling_328	#Japan Restarts Whaling Operations - http://t.co/tltO98XbMb via @TheEarthSpace	1.0	5.0	1			0.15430335	0.6172133998	0.7715167498	0.1474419562	0.8846517369	0.4423258685																																																																																																																																																
35	35	DS2	23830	@melnaau	2014-04-29	whaling_33	#Japan's #whaling - the end is nigh - http://t.co/s6Sb4bM5N0	1.0	1.0	1			0.8017837257	0.2672612419	0.5345224838	0.0	0.894427191	0.4472135955																																																																																																																																																
36	36	DS2	24121	@thejenwilkinson	2014-05-13	whaling_332	Japanese turn against whaling via @globalpost - http://t.co/3tDUbVawpf	1.0	3.0	1			0.8	0.6	0.0	0.0	0.6	0.8																																																																																																																																																
37	37	DS2	24123	@vofnjapan	2014-05-13	whaling_334	#VOFNPaper Japan finds way around ban on whaling - &#8230;  product to Japan using Norway as the middleman.       ... http://t.co/1RonMaRFA6	1.0	6.0	1			0.1961161351	0.9805806757	0.0	0.0	0.4472135955	0.894427191																																																																																																																																																
38	38	DS2	24124	@cathorio	2014-05-13	whaling_335	#Japan finds way around ban on whaling - http://t.co/KAii3HAkIT	1.0	5.0	1			0.8451542547	0.5070925528	0.1690308509	0.1690308509	0.8451542547	0.5070925528																																																																																																																																																
39	39	DS2	24125	@RadioDeadon	2014-05-13	whaling_336	RT @cathorio: #Japan finds way around ban on whaling - http://t.co/KAii3HAkIT	1.0	4.0	1			0.0	0.6	0.8	0.0	0.8	0.6																																																																																																																																																
40	40	DS2	23831	@thewhaling	2014-04-29	whaling_34	RT @melnaau: #Japan's #whaling - the end is nigh - http://t.co/s6Sb4bM5N0	1.0	2.0	1			0.15430335	0.7715167498	0.6172133998	0.1474419562	0.8846517369	0.4423258685																																																																																																																																																
41	41	DS2	24132	@NettUrsula	2014-05-13	whaling_343	Denounce Japan for #Whale Slaughter - ForceChange http://t.co/ItbVP8T77B	1.0	4.0	1			0.8574929257	0.5144957554	0.0	0.0	0.1414213562	0.9899494937																																																																																																																																																
42	42	DS2	24134	@CatharineSanko	2014-05-13	whaling_345	RT @NettUrsula: Denounce Japan for #Whale Slaughter - ForceChange http://t.co/ItbVP8T77B	1.0	6.0	1			0.9486832981	0.316227766	0.0	0.0	0.7071067812	0.7071067812																																																																																																																																																
43	43	DS2	24136	@T_Lee2323	2014-05-13	whaling_347	RT @QuadFins4Fun: Japan Finds Way Around Ban on Whaling - http://t.co/sVWsI0md89 #WhaleWars	1.0	4.0	1			0.1414213562	0.9899494937	0.0	0.6396021491	0.4264014327	0.6396021491																																																																																																																																																
44	44	DS2	23832	@crinklecutchips	2014-04-29	whaling_35	Denounce Japan for Whale Slaughter - ForceChange http://t.co/AAUwIhnOeW	1.0	4.0	1			0.1561737619	0.9370425713	0.3123475238	0.1561737619	0.9370425713	0.3123475238																																																																																																																																																
45	45	DS2	24139	@ChezisMe	2014-05-13	whaling_350	“@QuadFins4Fun: Japan Finds Way Around Ban on Whaling - http://t.co/FG8nQlov2g #WhaleWars” @Pleiades_07	1.0	4.0	1			0.0	0.9615239476	0.2747211279	0.5773502692	0.5773502692	0.5773502692																																																																																																																																																
46	46	DS2	24140	@AAK4anilib	2014-05-13	whaling_351	RT @ChezisMe: “@QuadFins4Fun: Japan Finds Way Around Ban on Whaling - http://t.co/FG8nQlov2g #WhaleWars” @Pleiades_07	1.0	5.0	1			0.0	0.8320502943	0.5547001962	0.5144957554	0.6859943406	0.5144957554																																																																																																																																																
47	47	DS2	24142	@ReginaJJK	2014-05-13	whaling_353	“@QuadFins4Fun: Japan Finds Way Around Ban on Whaling - http://t.co/dfHDsyAOda #WhaleWars” Not surprised. #thugs #InternationalCriminals	1.0	5.0	1			0.174077656	0.6963106238	0.6963106238	0.0	0.894427191	0.4472135955																																																																																																																																																
48	48	DS2	24144	@NegativityGear	2014-05-13	whaling_355	#auspol #greghuntmp :: Japanese whaling ships to roam Antarctic again - Care2 ... :: http://t.co/UKSgVqUeoO	1.0	5.0	1			0.5883484054	0.1961161351	0.7844645406	0.1622214211	0.9733285268	0.1622214211																																																																																																																																																
49	49	DS2	24148	@tomandroyd3	2014-05-14	whaling_359	#tomandroyd Japan finds way around ban on whaling - http://t.co/XfLD6TllUS http://t.co/szVgpH7hL0 #banthehunt	1.0	4.0	1			0.0	0.9899494937	0.1414213562	0.0	0.5144957554	0.8574929257																																																																																																																																																
50	50	DS2	5	@klyonskalmenson	2014-04-29	whaling_36	Denounce Japan for Whale Slaughter - ForceChange http://t.co/TbxHA7K36Z	1.0	5.0	1			0.1924500897	0.9622504486	0.1924500897	0.4850712501	0.4850712501	0.7276068751																																																																																																																																																
51	51	DS2	24149	@RyanSwansonwLa	2014-05-14	whaling_361	ICJ rules against Japanese whaling - Washington Post	1.0	2.0	1			0.7808688094	0.0	0.6246950476	0.0	0.894427191	0.4472135955																																																																																																																																																
52	52	DS2	24150	@9_Dolphin_9	2014-05-14	whaling_362	Denounce Japan for Whale Slaughter - ForceChange http://t.co/zBnPJ7JaAQ	1.0	4.0	1			0.2357022604	0.9428090416	0.2357022604	0.2357022604	0.2357022604	0.9428090416																																																																																																																																																
53	53	DS2	23833	@tiggerlil	2014-04-29	whaling_37	Denounce #Japan for #Whale Slaughter - ForceChange http://t.co/L9sAjFD3xM	1.0	5.0	1			0.9486832981	0.316227766	0.0	0.0	0.316227766	0.9486832981																																																																																																																																																
54	54	DS2	24161	@scozzese	2014-05-15	whaling_374	Finally... over 100 years later, Antarctica’s whales are safe - Japan's 'research whaling' ruled illegal... http://t.co/jJbHGtNIgF	1.0	7.0	1			0.9805806757	0.0	0.1961161351	0.0	0.7071067812	0.7071067812																																																																																																																																																
55	55	DS2	23834	@GelderJgelly	2014-04-29	whaling_38	RT @adopt_dont_buy: Denounce Japan for Whale Slaughter - ForceChange http://t.co/Y29zE62xil	1.0	4.0	1			0.4866642634	0.8111071057	0.3244428423	0.0	0.8320502943	0.5547001962																																																																																																																																																
56	56	DS2	24168	@Sneggals	2014-05-15	whaling_381	RT @QuadFins4Fun: Japanese Town of Taiji Sued by Dolphin Activists - http://t.co/D0aE9N0NTO @SandyMcElhaney @Foxewise @CoveGuardians #tweet…	1.0	4.0	1			0.1690308509	0.5070925528	0.8451542547	0.0	0.894427191	0.4472135955																																																																																																																																																
57	57	DS2	24170	@chuhaizhou	2014-05-15	whaling_383	dlvr -  Japan whaling town sued by dolphin activists http://t.co/Uh6bvoRm52	1.0	3.0	1			0.5773502692	0.5773502692	0.5773502692	0.0	0.7808688094	0.6246950476																																																																																																																																																
58	58	DS2	23871	@Tasik1988	2014-04-30	whaling_76	Denounce Japan for Whale Slaughter - ForceChange http://t.co/2Na8nDEJI2	1.0		1																																																																																																			Denounce	0.22	Japan	0.59	for	0.22	Whale	0.44	Slaughter	0.59	[NONE]	0	[CHECK_FAILED]	0																																								
59	59	DS2	24337	@MiguelAmy1	2014-05-26	whaling_554	Select searching gratuity - conveniences until fortune-tell off paragon whaling tips: gxSTGki	1.0		1																																																																																																			conveniences	0.24	until	0.24	fortune-tell	0.24	off	0.24	paragon	0.24	whaling	0.71	tips:	0.47	[NONE]	0	[CHECK_FAILED]	0																																				
60	60	DS3	38753	@GhostWolf71	Sun Mar 15 03:49:58 +0000 2015		RT @Koala_Bee: Please sign➙Japan: End Illegal Antarctic Whaling Today! https://t.co/bj0YiewmBb #whales #conservation #AnimalRights http://t…	1.0	8.0	1			0.5144957554	0.5144957554	0.6859943406	0.0	0.3939192986	0.91914503																																																																																																																																																
61	61	DS3	38859	@TatankaMc	Mon Mar 09 21:15:35 +0000 2015		"RT @SavetheDolphin1: ""@tutticontenti: #Japan needs to stop killing #Whales.
The Big Lie Behind Japanese Whaling http://t.co/BbyQKs5zZ1 http…"	1.0	10.0	1			0.2747211279	0.9615239476	0.0	0.6246950476	0.0	0.7808688094																																																																																																																																																
62	62	DS3	38789	@tweetforcetacea	Mon Mar 09 00:00:11 +0000 2015		"RT @tutticontenti: #Japan needs to stop killing #Whales.
The Big Lie Behind Japanese Whaling http://t.co/etYsPiCT00 http://t.co/ma9FothrwO"	1.0	7.0	1			0.3651483717	0.9128709292	0.1825741858	0.4082482905	0.4082482905	0.8164965809																																																																																																																																																
63	63	DS3	38795	@Pork_Merchants	Sun Mar 15 17:38:58 +0000 2015		Japan MUST stop whaling &amp; dolphin hunting. Japan MUST increase Australian pork imports. We at #Tweet4Taiji will not stop until this happens.	1.0	7.0	1			0.4423258685	0.8846517369	0.1474419562	0.4866642634	0.3244428423	0.8111071057																																																																																																																																																
64	64	DS3	38617	@NoAnimalPoachin	Tue Mar 10 00:42:48 +0000 2015		"RT @CamdylM2b: How dare the Japanese Whaling Fleet use $30 MILLION from Donations from Tsunami Fund😡
#tweet4taiji #AnimalRights http://t.co…"	1.0	5.0	1			0.0	0.9486832981	0.316227766	0.4082482905	0.4082482905	0.8164965809																																																																																																																																																
65	65	DS3	38676	@ChezarinaC	Fri Mar 13 17:43:57 +0000 2015		Struggle to rein in Japan's plans for a new 'scientific' whaling program http://t.co/aQpEVJNhos	1.0	5.0	1			0.0	0.9805806757	0.1961161351	0.0	0.894427191	0.4472135955																																																																																																																																																
66	66	DS3	38835	@moejunko	Thu Mar 12 17:57:11 +0000 2015		RT @IrinaGreenVoice: Humans slaughtered nearly 3 MILLION whales in the 20th century...., according to a new study https://t.co/ZyT9HvPMWN h…	1.0	5.0	1			0.0	0.9486832981	0.316227766	0.3651483717	0.1825741858	0.9128709292																																																																																																																																																
67	67	DS3	38950	@DolphinSeeker30	Thu Apr 09 14:15:34 +0000 2015		The Internet Giant Selling Toxic #Whale &amp; #Dolphin Meat in Japan http://t.co/D8fxymlxpY ~ #Yahoo #CrueltyforProfit #Whaling	1.0	5.0	1			0.0	0.9899494937	0.1414213562	0.8164965809	0.4082482905	0.4082482905																																																																																																																																																
68	68	DS3	38911	@aceabas	Sun Mar 15 21:07:01 +0000 2015		Humans Killed Nearly 3 Million Whales in the 20th Century: International whaling bans have bee... http://t.co/4lxCYbVfBV #teamfollowback	1.0	5.0	1			0.0	0.9922778767	0.1240347346	0.5570860145	0.3713906764	0.7427813527																																																																																																																																																
69	69	DS3	38621	@Vampiria	Sat Mar 14 21:41:54 +0000 2015		Real Men Don't Whale - Join @CliveStanden in making whaling ancient history once and for all #SeaShepherd #GrindStop https://t.co/dfG8mUjG9t	1.0	5.0	1			0.5345224838	0.2672612419	0.8017837257	0.0	0.7071067812	0.7071067812																																																																																																																																																
70	70	DS3	38989	@iixxgeniexxii	Sun Mar 15 22:46:05 +0000 2015		@Sen_JoeManchin Japan expanding controversial whaling program #BoycottJapan http://t.co/FB0cTGXClq http://t.co/oMbuHpbGo6	1.0	5.0	1			0.0	1.0	0.0	0.3713906764	0.5570860145	0.7427813527																																																																																																																																																
71	71	DS3	38627	@ryy__elizabeth	Mon Mar 09 03:13:29 +0000 2015		"RT @tutticontenti: #Japan needs to stop killing #Whales.
The Big Lie Behind Japanese Whaling http://t.co/etYsPiCT00 http://t.co/ma9FothrwO"	1.0	5.0	1			0.1825741858	0.9128709292	0.3651483717	0.4264014327	0.6396021491	0.6396021491																																																																																																																																																
