Dataset,Tweet Id,Tweet Author,Tweet Date,Tweet Seed Index,Tweet Content,Tweet Event Relevance Score,Number of Relevant Mentions,Overall Sentiment-Intensity,Relevant Mention,Relevant Mention Score,Positive Sentiment,Negative Sentiment,Neutral Sentiment,High Intensity,Low Intensity,Medium Intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23891,@Blubdha,2014-04-30,whaling_97,Japan Sets Off for First Whaling Since UN Court Ruling - See more at: http://t.co/aiICWtNi20 ( #japancc live at http://t.co/lBvTAjnWLb),1.00,8,0,Japan Sets Off for First Whaling,0.53,0.1961161351,0.5883484054,0.7844645406,0.1622214211,0.9733285268,0.1622214211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23890,@PaddyJCawkwell,2014-04-30,whaling_96,Denounce Japan for Whale Slaughter - ForceChange http://t.co/TEOEtX5B7B,1.00,4,1,,,0.7071067812,0.7071067812,0,0,0.316227766,0.9486832981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23890,@PaddyJCawkwell,2014-04-30,whaling_96,Denounce Japan for Whale Slaughter - ForceChange http://t.co/TEOEtX5B7B,1.00,4,0,Denounce Japan for Whale Slaughter,0.76,0.5144957554,0.8574929257,0,0,0.5144957554,0.8574929257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23890,@PaddyJCawkwell,2014-04-30,whaling_96,Denounce Japan for Whale Slaughter - ForceChange http://t.co/TEOEtX5B7B,1.00,4,0,Japan for Whale Slaughter,0.38,0.7071067812,0.7071067812,0,0,0.316227766,0.9486832981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23890,@PaddyJCawkwell,2014-04-30,whaling_96,Denounce Japan for Whale Slaughter - ForceChange http://t.co/TEOEtX5B7B,1.00,4,0,Japan,0.38,0.9733285268,0.1622214211,0.1622214211,0,0.5144957554,0.8574929257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23890,@PaddyJCawkwell,2014-04-30,whaling_96,Denounce Japan for Whale Slaughter - ForceChange http://t.co/TEOEtX5B7B,1.00,4,0,Whale Slaughter,0.38,0.8574929257,0.5144957554,0,0,0.1414213562,0.9899494937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23889,@signorPuff,2014-04-30,whaling_95,RT @lully111: Denounce Japan for Whale Slaughter - ForceChange http://t.co/QZMlQZKvBb,1.00,4,1,,,0.1643989873,0.9863939238,0,0.6,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23889,@signorPuff,2014-04-30,whaling_95,RT @lully111: Denounce Japan for Whale Slaughter - ForceChange http://t.co/QZMlQZKvBb,1.00,4,0,Japan,0.69,0,0.3713906764,0.9284766909,0.1643989873,0.9863939238,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23889,@signorPuff,2014-04-30,whaling_95,RT @lully111: Denounce Japan for Whale Slaughter - ForceChange http://t.co/QZMlQZKvBb,1.00,4,0,Whale Slaughter,0.69,0.1924500897,0.9622504486,0.1924500897,0.4850712501,0.4850712501,0.7276068751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23889,@signorPuff,2014-04-30,whaling_95,RT @lully111: Denounce Japan for Whale Slaughter - ForceChange http://t.co/QZMlQZKvBb,1.00,4,0,Denounce Japan for Whale Slaughter,0.17,0.1643989873,0.9863939238,0,0.4850712501,0.4850712501,0.7276068751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23889,@signorPuff,2014-04-30,whaling_95,RT @lully111: Denounce Japan for Whale Slaughter - ForceChange http://t.co/QZMlQZKvBb,1.00,4,0,Japan for Whale Slaughter,0.17,0,0.9284766909,0.3713906764,0.4850712501,0.7276068751,0.4850712501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23888,@AngelDelattre,2014-04-30,whaling_94,Denounce Japan for Whale Slaughter - ForceChange http://t.co/jMis4KGaUc,1.00,4,1,,,0.4082482905,0.8164965809,0.4082482905,0.5144957554,0.8574929257,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23888,@AngelDelattre,2014-04-30,whaling_94,Denounce Japan for Whale Slaughter - ForceChange http://t.co/jMis4KGaUc,1.00,4,0,Denounce Japan for Whale Slaughter,0.63,0.6396021491,0.6396021491,0.4264014327,0.3651483717,0.9128709292,0.1825741858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23888,@AngelDelattre,2014-04-30,whaling_94,Denounce Japan for Whale Slaughter - ForceChange http://t.co/jMis4KGaUc,1.00,4,0,Japan,0.63,0.5144957554,0,0.8574929257,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23888,@AngelDelattre,2014-04-30,whaling_94,Denounce Japan for Whale Slaughter - ForceChange http://t.co/jMis4KGaUc,1.00,4,0,Whale,0.42,0.5883484054,0.1961161351,0.7844645406,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23888,@AngelDelattre,2014-04-30,whaling_94,Denounce Japan for Whale Slaughter - ForceChange http://t.co/jMis4KGaUc,1.00,4,0,Whale Slaughter,0.21,0.1961161351,0.7844645406,0.5883484054,0.316227766,0.9486832981,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23887,@lully111,2014-04-30,whaling_92,Denounce Japan for Whale Slaughter - ForceChange http://t.co/QZMlQZKvBb,1.00,4,1,,,0.6,0.8,0,0.6882472016,0.2294157339,0.6882472016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23887,@lully111,2014-04-30,whaling_92,Denounce Japan for Whale Slaughter - ForceChange http://t.co/QZMlQZKvBb,1.00,4,0,Denounce Japan for Whale Slaughter,0.42,0.1643989873,0.9863939238,0,0.7276068751,0.4850712501,0.4850712501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23887,@lully111,2014-04-30,whaling_92,Denounce Japan for Whale Slaughter - ForceChange http://t.co/QZMlQZKvBb,1.00,4,0,Japan,0.63,0.1643989873,0,0.9863939238,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23887,@lully111,2014-04-30,whaling_92,Denounce Japan for Whale Slaughter - ForceChange http://t.co/QZMlQZKvBb,1.00,4,0,Whale Slaughter,0.63,0.1643989873,0.9863939238,0,0.7276068751,0.4850712501,0.4850712501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23887,@lully111,2014-04-30,whaling_92,Denounce Japan for Whale Slaughter - ForceChange http://t.co/QZMlQZKvBb,1.00,4,0,Japan for Whale Slaughter,0.21,0,1,0,0.6882472016,0.2294157339,0.6882472016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23886,@LifeLoveUNIVERS,2014-04-30,whaling_91,Denounce Japan for Whale Slaughter - ForceChange http://t.co/NAQJIoKqiO,1.00,5,1,,,0.3123475238,0.9370425713,0.1561737619,0.6963106238,0.174077656,0.6963106238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23886,@LifeLoveUNIVERS,2014-04-30,whaling_91,Denounce Japan for Whale Slaughter - ForceChange http://t.co/NAQJIoKqiO,1.00,5,0,Japan,0.73,0,0,1,0,0.9922778767,0.1240347346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23886,@LifeLoveUNIVERS,2014-04-30,whaling_91,Denounce Japan for Whale Slaughter - ForceChange http://t.co/NAQJIoKqiO,1.00,5,0,Whale Slaughter,0.61,0,0.894427191,0.4472135955,0.8703882798,0.3481553119,0.3481553119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23886,@LifeLoveUNIVERS,2014-04-30,whaling_91,Denounce Japan for Whale Slaughter - ForceChange http://t.co/NAQJIoKqiO,1.00,5,0,Whale,0.24,0.1240347346,0,0.9922778767,0,0.9922778767,0.1240347346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23886,@LifeLoveUNIVERS,2014-04-30,whaling_91,Denounce Japan for Whale Slaughter - ForceChange http://t.co/NAQJIoKqiO,1.00,5,0,ForceChange,0.12,0.5570860145,0.7427813527,0.3713906764,0,0.6246950476,0.7808688094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23886,@LifeLoveUNIVERS,2014-04-30,whaling_91,Denounce Japan for Whale Slaughter - ForceChange http://t.co/NAQJIoKqiO,1.00,5,0,Denounce Japan for Whale Slaughter,0.12,0.3123475238,0.9370425713,0.1561737619,0.5570860145,0.3713906764,0.7427813527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23885,@thewhaling,2014-04-30,whaling_90,RT @melnaau: First #whaling fleet leaves #Japan since #UN hunting ban in Antarctic - http://t.co/4JmXY2e9zw,1.00,6,1,,,0.4082482905,0.8164965809,0.4082482905,0,0.7071067812,0.7071067812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23885,@thewhaling,2014-04-30,whaling_90,RT @melnaau: First #whaling fleet leaves #Japan since #UN hunting ban in Antarctic - http://t.co/4JmXY2e9zw,1.00,6,0,#whaling,0.51,0.4082482905,0.4082482905,0.8164965809,0.1825741858,0.9128709292,0.3651483717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23885,@thewhaling,2014-04-30,whaling_90,RT @melnaau: First #whaling fleet leaves #Japan since #UN hunting ban in Antarctic - http://t.co/4JmXY2e9zw,1.00,6,0,#Japan,0.68,0.1622214211,0.1622214211,0.9733285268,0.1825741858,0.9128709292,0.3651483717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23885,@thewhaling,2014-04-30,whaling_90,RT @melnaau: First #whaling fleet leaves #Japan since #UN hunting ban in Antarctic - http://t.co/4JmXY2e9zw,1.00,6,0,#whaling fleet leaves #Japan,0.34,0.4264014327,0.6396021491,0.6396021491,0.1961161351,0.5883484054,0.7844645406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23885,@thewhaling,2014-04-30,whaling_90,RT @melnaau: First #whaling fleet leaves #Japan since #UN hunting ban in Antarctic - http://t.co/4JmXY2e9zw,1.00,6,0,#UN hunting ban in Antarctic,0.17,0.7844645406,0.5883484054,0.1961161351,0.1825741858,0.9128709292,0.3651483717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23885,@thewhaling,2014-04-30,whaling_90,RT @melnaau: First #whaling fleet leaves #Japan since #UN hunting ban in Antarctic - http://t.co/4JmXY2e9zw,1.00,6,0,hunting ban,0.34,0.7844645406,0.5883484054,0.1961161351,0,0.7071067812,0.7071067812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23885,@thewhaling,2014-04-30,whaling_90,RT @melnaau: First #whaling fleet leaves #Japan since #UN hunting ban in Antarctic - http://t.co/4JmXY2e9zw,1.00,6,0,Antarctic,0.17,0.1622214211,0.1622214211,0.9733285268,0.1414213562,0.9899494937,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23884,@melnaau,2014-04-30,whaling_89,First #whaling fleet leaves #Japan since #UN hunting ban in Antarctic - http://t.co/4JmXY2e9zw,1.00,5,1,,,0.4850712501,0.4850712501,0.7276068751,0.2294157339,0.6882472016,0.6882472016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23884,@melnaau,2014-04-30,whaling_89,First #whaling fleet leaves #Japan since #UN hunting ban in Antarctic - http://t.co/4JmXY2e9zw,1.00,5,0,#whaling fleet leaves #Japan since #UN hunting ban in Antarctic,0.17,0.2182178902,0.4364357805,0.8728715609,0.2294157339,0.6882472016,0.6882472016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23884,@melnaau,2014-04-30,whaling_89,First #whaling fleet leaves #Japan since #UN hunting ban in Antarctic - http://t.co/4JmXY2e9zw,1.00,5,0,#whaling,0.68,0,0.3713906764,0.9284766909,0,0.9284766909,0.3713906764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2,23884,@melnaau,2014-04-30,whaling_89,First #whaling fleet leaves #Japan since #UN hunting ban in Antarctic - http://t.co/4JmXY2e9zw,1.00,5,0,#Japan,0.68,0,0.1643989873,0.9863939238,0,0.9284766909,0.3713906764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
